编号,作用,base.yaml,CHANGELOG.md,RUNLOG.md,WORKLOG.md,figures,csv产物,报告md,齐全
100,全规模精确 M + 独立要素（基线号）,35 行,166 行,298 行,60 行,8,15,4,是
101,独立数据认证 C1–C6,19 行,51 行,149 行,14 行,1,2,1,是
102,P0-2 single vs multi,20 行,58 行,252 行,20 行,3,3,1,是
103,P0-3 正式真值 + 基线/消融,14 行,54 行,61 行,13 行,4,4,1,是
104,P0-4 正式 M 全表,13 行,52 行,12 行,8 行,3,2,0,是
105,P0-5 领域 baseline,11 行,41 行,9 行,13 行,3,5,1,是
106,P0-7 分级表 + 发布审查,16 行,52 行,7 行,11 行,2,3,1,是
107,总结与论文规划,17 行,50 行,10 行,19 行,3,3,3,是
108,A 档收尾：区间口径/元训练定位/K=3 口径,22 行,117 行,10 行,23 行,3,6,1,是
109,P1 攻击者辅助标签量 sensitivity,24 行,132 行,22 行,26 行,4,5,1,是
