target,degree,entropy_norm,max_weight,uniform_weight,top_source
da_as_total_mw_primary_reserve,18,0.4942,0.6009,0.0556,da_as_nsr_mw_primary_reserve
da_as_total_mw_synchronized_reserve,15,0.5371,0.5807,0.0667,da_as_nsr_mw_primary_reserve
gross_actual_interchange_mw,19,0.6255,0.5106,0.0526,gross_inadv_interchange_mw
total_lmp_da,29,0.6545,0.4926,0.0345,system_energy_price_da
metered_load_mw,30,0.7234,0.238,0.0333,forecast_load_mw_latest_available
da_as_total_mw_thirty_minutes_reserve,24,0.7279,0.3077,0.0417,gen_fuel_nuclear_mw
net_actual_interchange_mw,19,0.7509,0.3295,0.0526,gross_sched_interchange_mw
total_gen,27,0.7516,0.213,0.037,forecast_load_mw_day_ahead
congestion_price_rt,19,0.7629,0.2541,0.0526,total_lmp_rt
total_losses,22,0.7734,0.2072,0.0455,gen_fuel_nuclear_mw
marginal_loss_price_da,23,0.79,0.2985,0.0435,system_energy_price_da
congestion_price_da,20,0.8995,0.1618,0.05,system_energy_price_da
