S,tA,tB,synA,synB
"(np.int64(0), np.int64(1), np.int64(4), np.int64(25))",7.090626450238392,5.895375175121637,0.02086984710615969,0.027134543530063726
"(np.int64(0), np.int64(1), np.int64(4), np.int64(34))",6.106997830667573,5.153747804778151,0.03464432559238928,0.014560778504534522
"(np.int64(0), np.int64(1), np.int64(5), np.int64(36))",2.1426697361073344,7.1302273662453,0.051512291737249916,0.018711691993541946
"(np.int64(0), np.int64(1), np.int64(6), np.int64(20))",6.89469549831864,7.48830127080037,0.07536127318055763,0.04527072606406457
"(np.int64(0), np.int64(1), np.int64(7), np.int64(36))",3.847526720001566,2.6168500129041634,0.035310552523138417,0.012335800203609693
"(np.int64(0), np.int64(1), np.int64(8), np.int64(16))",3.784130224403126,6.216471827040576,0.041607128074354516,0.04349790278217203
"(np.int64(0), np.int64(1), np.int64(9), np.int64(14))",6.026384640192397,6.209200834678964,0.038761482292830496,0.039812208088742196
"(np.int64(0), np.int64(1), np.int64(9), np.int64(41))",4.834921628065317,4.236508285787107,0.006802100862029925,0.003573287070832487
"(np.int64(0), np.int64(1), np.int64(10), np.int64(28))",4.287971459303864,3.6133065883861657,0.019587157682783962,0.024417260029701682
"(np.int64(0), np.int64(1), np.int64(11), np.int64(18))",5.522732653519371,7.165699977600064,0.021148592758086893,0.03231347950766639
"(np.int64(0), np.int64(1), np.int64(11), np.int64(35))",4.642522465839487,7.118136439269376,0.034688787300747315,0.013947391989344915
"(np.int64(0), np.int64(1), np.int64(12), np.int64(23))",3.319052620383081,5.421934627935173,0.023326049513934244,0.03464601334600459
"(np.int64(0), np.int64(1), np.int64(14), np.int64(24))",6.128125844280195,9.612022336580349,0.06360029818064394,0.08296647869794416
"(np.int64(0), np.int64(1), np.int64(18), np.int64(29))",5.550154867460023,4.037641322731486,0.022777366334736926,0.021818252546661254
"(np.int64(0), np.int64(1), np.int64(19), np.int64(23))",4.983877648980736,3.45524836779639,0.01841661082949375,0.023929971519941917
"(np.int64(0), np.int64(1), np.int64(26), np.int64(43))",2.2871677240906627,4.218435356515633,0.027672333158974327,0.04137626273458184
"(np.int64(0), np.int64(1), np.int64(28), np.int64(38))",7.7989746243104525,3.595260451529131,0.01636973210667747,0.01054715887505675
"(np.int64(0), np.int64(1), np.int64(35), np.int64(36))",9.085683814081301,6.044391810693742,0.00017710328189057822,3.377574805396577e-07
"(np.int64(0), np.int64(2), np.int64(3), np.int64(15))",3.600493140494138,7.6417306547465715,0.030483107938752974,0.055594043886272315
"(np.int64(0), np.int64(2), np.int64(4), np.int64(5))",6.365931004900508,8.85886085193943,0.031950912724880154,0.031120968666340953
"(np.int64(0), np.int64(2), np.int64(4), np.int64(20))",5.666662718567164,7.974135440433319,0.01495507485769576,0.025363693061353998
"(np.int64(0), np.int64(2), np.int64(6), np.int64(12))",2.566387056872851,3.6239460007323934,0.045245077440459136,0.05081204160317565
"(np.int64(0), np.int64(2), np.int64(6), np.int64(15))",6.575957241542065,8.937183821936745,0.04164016667562509,0.06010413685320326
