S,tA,tB,synA,synB
"(np.int64(0), np.int64(1), np.int64(2))",14.654115936539224,12.441972752725086,0.03711996177549737,0.03283185188261106
"(np.int64(0), np.int64(1), np.int64(6))",10.587708800803068,10.68679833016685,0.06820246415344466,0.05403888053465322
"(np.int64(0), np.int64(1), np.int64(7))",6.263240100505777,7.0937837842477185,0.05773470896465083,0.040748766970546635
"(np.int64(0), np.int64(1), np.int64(10))",12.539707448651503,9.648932933106671,0.07219284890890287,0.0552525547163647
"(np.int64(0), np.int64(1), np.int64(13))",10.26848856728691,8.364905725843034,0.06553428195367861,0.041382397505539625
"(np.int64(0), np.int64(1), np.int64(17))",5.358415531214665,6.293706323211304,0.049581936268574545,0.04001711243090367
"(np.int64(0), np.int64(1), np.int64(20))",24.76568338044866,20.765998472786098,0.07603473709899033,0.04392759584679795
"(np.int64(0), np.int64(1), np.int64(21))",4.352018912041859,5.094478858278618,0.013454988536196866,0.04456437668723989
"(np.int64(0), np.int64(1), np.int64(22))",6.572958546902459,4.440270528259919,0.046621299968017005,0.03249179940829683
"(np.int64(0), np.int64(1), np.int64(25))",3.3064694870520532,3.364447846410116,0.01943232312389831,0.025836080928228533
"(np.int64(0), np.int64(1), np.int64(27))",4.397652944731284,5.00785106791635,0.013599518176685033,0.043940549161364584
"(np.int64(0), np.int64(1), np.int64(28))",7.5724215089635845,5.22543508788666,0.06463743284273382,0.04129142810693687
"(np.int64(0), np.int64(1), np.int64(30))",7.049250050700777,6.98555788898595,0.10647081293555727,0.06811437860866443
"(np.int64(0), np.int64(1), np.int64(32))",6.242319039423213,4.441550854941908,0.02201651750555389,0.031123962445348097
"(np.int64(0), np.int64(1), np.int64(34))",6.913119090111013,5.1821707326536695,0.06546932962056717,0.02593058931370229
"(np.int64(0), np.int64(1), np.int64(41))",3.8916113634947314,2.0905582318555647,0.008611838310942255,0.005878633103753472
"(np.int64(0), np.int64(2), np.int64(4))",9.384472031056305,8.305313690848049,0.10673619329212347,0.09431237034408602
"(np.int64(0), np.int64(2), np.int64(7))",8.380892472016992,7.7092050101394705,0.041927114778003705,0.051098045118703306
"(np.int64(0), np.int64(2), np.int64(14))",12.845398613892277,10.50081048729872,0.036443082504634905,0.03193356566144823
"(np.int64(0), np.int64(2), np.int64(23))",2.1252770322701995,3.1825191548957004,0.037566435941821075,0.04266375604755779
"(np.int64(0), np.int64(2), np.int64(25))",6.166691951152127,5.986230145196653,0.041555928540626064,0.05013560927744376
"(np.int64(0), np.int64(2), np.int64(36))",9.71161778383787,10.09724892885907,0.025772711815951088,0.028608753161656564
"(np.int64(0), np.int64(3), np.int64(4))",6.715593809188212,5.200717190491137,0.08778508973252352,0.06338656660730158
"(np.int64(0), np.int64(3), np.int64(7))",6.786971918273173,6.98145518970033,0.037330438273412425,0.039845010493568145
"(np.int64(0), np.int64(3), np.int64(8))",3.2268688573291513,7.35305621635094,0.06474922547637207,0.05746862031085176
"(np.int64(0), np.int64(3), np.int64(20))",15.515436713214447,10.812184052848325,0.05510639314127841,0.054723649243172634
"(np.int64(0), np.int64(3), np.int64(25))",4.747736017907093,4.998519312280046,0.024372306205908134,0.021315824151957652
"(np.int64(0), np.int64(3), np.int64(27))",3.796789021242341,6.306679197254433,-0.005996922676090866,0.04622058754248071
"(np.int64(0), np.int64(3), np.int64(36))",6.797215668433455,7.883623999455513,0.017376458070367362,0.02376001055040866
"(np.int64(0), np.int64(3), np.int64(41))",4.1743879329769,3.4237808414104824,0.005891175898417811,0.009047630224739311
"(np.int64(0), np.int64(3), np.int64(42))",5.396818084997199,6.962235969602824,0.09106285150682114,0.0935666969850052
"(np.int64(0), np.int64(4), np.int64(9))",8.01080328212642,6.73492715896342,0.05436518232174237,0.056852236451477745
"(np.int64(0), np.int64(4), np.int64(12))",10.062984280376751,8.746139676206372,0.10469310686387334,0.07480065305447925
"(np.int64(0), np.int64(4), np.int64(15))",16.142499806631147,14.390215817774026,0.061096944500288575,0.046631216353461125
"(np.int64(0), np.int64(4), np.int64(28))",10.462303644757133,9.51380760180886,0.04284416595789409,0.02822126443311601
"(np.int64(0), np.int64(4), np.int64(30))",17.93925383648986,16.561175825655276,0.03871737486235527,0.06952549256878127
"(np.int64(0), np.int64(4), np.int64(31))",12.859239815551318,11.03139101011969,0.08452155463843736,0.062366153075874564
"(np.int64(0), np.int64(4), np.int64(32))",12.859274507898924,11.031348633662311,0.08452123910439635,0.06236696501369665
"(np.int64(0), np.int64(4), np.int64(37))",9.950698333511069,8.468513917796447,0.03663860309314437,0.04772416028610049
"(np.int64(0), np.int64(5), np.int64(21))",7.086610784655387,6.538567632902109,0.005239213046581148,0.03354040882819931
"(np.int64(0), np.int64(5), np.int64(27))",7.145848784108329,6.5568188673984915,-2.8464708987097076e-05,0.035583040540891786
"(np.int64(0), np.int64(5), np.int64(28))",2.294683895559665,1.7354658921801946,0.05851596788159896,0.03173017349444007
