字段,M0,M2,M2估计,见证
节点电价_301,0.5234132,0.72390175,0.7026036,负荷预测_区1 + 阻塞_A34
节点电价_316,0.50670063,0.72354823,0.69032305,负荷预测_区1 + 阻塞_A34
节点电价_319,0.51240426,0.72126585,0.69770336,负荷预测_区1 + 阻塞_A34
节点电价_315,0.5042096,0.7204252,0.6728701,负荷预测_区1 + 阻塞_A34
节点电价_302,0.51100194,0.7187857,0.69897896,负荷预测_区1 + 阻塞_A34
节点电价_322,0.50689566,0.71835136,0.6797819,负荷预测_区1 + 阻塞_A34
节点电价_324,0.50291306,0.71524394,0.6819975,负荷预测_区1 + 阻塞_A34
节点电价_317,0.49739128,0.71428466,0.6700624,负荷预测_区1 + 阻塞_A34
节点电价_202,0.48338354,0.7139281,0.6987988,负荷预测_区1 + 阻塞_A34
节点电价_204,0.48317432,0.7139078,0.69668436,负荷预测_区1 + 阻塞_A34
节点电价_203,0.4907152,0.7136245,0.69858944,负荷预测_区1 + 阻塞_A34
节点电价_224,0.4833757,0.7136216,0.69806707,负荷预测_区1 + 阻塞_A34
节点电价_215,0.4885854,0.71335053,0.6971822,负荷预测_区1 + 阻塞_A34
节点电价_201,0.4822003,0.71325374,0.6965188,负荷预测_区1 + 阻塞_A34
节点电价_214,0.48231837,0.7131072,0.6964271,负荷预测_区1 + 阻塞_A34
节点电价_320,0.5111603,0.7129514,0.67372316,负荷预测_区1 + 阻塞_A34
节点电价_207,0.4795742,0.71285367,0.6957451,负荷预测_区1 + 阻塞_A34
节点电价_205,0.4858902,0.7127474,0.6967006,负荷预测_区1 + 阻塞_A34
节点电价_206,0.4798867,0.7125713,0.6956022,负荷预测_区1 + 阻塞_A34
节点电价_211,0.4797752,0.71223515,0.69897556,负荷预测_区1 + 阻塞_A34
节点电价_209,0.48510987,0.7119618,0.69554484,负荷预测_区1 + 阻塞_A34
节点电价_219,0.4804234,0.7115344,0.6976187,负荷预测_区1 + 阻塞_A34
节点电价_218,0.48468348,0.7115117,0.69789886,负荷预测_区1 + 阻塞_A34
节点电价_107,0.49555635,0.71147925,0.6953702,负荷预测_区1 + 阻塞_A34
节点电价_309,0.5162141,0.711323,0.66687125,负荷预测_区1 + 阻塞_A34
节点电价_210,0.48008898,0.7111989,0.6968485,负荷预测_区1 + 阻塞_A34
节点电价_108,0.489746,0.7110169,0.69246423,负荷预测_区1 + 阻塞_A34
节点电价_217,0.48428214,0.7109216,0.698985,负荷预测_区1 + 阻塞_A34
节点电价_221,0.48248452,0.71090126,0.6994246,负荷预测_区1 + 阻塞_A34
节点电价_222,0.48521832,0.71084607,0.69885194,负荷预测_区1 + 阻塞_A34
节点电价_216,0.48553628,0.7106765,0.69898283,负荷预测_区1 + 阻塞_A34
节点电价_113,0.49027893,0.71036637,0.6920073,负荷预测_区1 + 阻塞_A34
节点电价_212,0.473687,0.709968,0.6962122,负荷预测_区1 + 阻塞_A34
节点电价_213,0.4768401,0.7093555,0.6959388,负荷预测_区1 + 阻塞_A34
节点电价_321,0.4830618,0.7089927,0.6707647,负荷预测_区1 + 阻塞_A34
节点电价_112,0.48936462,0.7082463,0.69008875,负荷预测_区1 + 阻塞_A34
节点电价_101,0.49295285,0.7080552,0.68772066,负荷预测_区1 + 阻塞_A34
节点电价_110,0.49125838,0.7079831,0.6885469,负荷预测_区1 + 阻塞_A34
节点电价_104,0.48965004,0.7071942,0.68942225,负荷预测_区1 + 阻塞_A34
节点电价_111,0.48869142,0.7067032,0.6892452,负荷预测_区1 + 阻塞_A34
节点电价_106,0.48921886,0.70663667,0.6862762,负荷预测_区1 + 阻塞_A34
节点电价_102,0.49010372,0.7059906,0.68728244,负荷预测_区1 + 阻塞_A34
节点电价_120,0.48786288,0.70581543,0.68767667,负荷预测_区1 + 阻塞_A34
节点电价_105,0.4875394,0.70554215,0.6891781,负荷预测_区1 + 阻塞_A34
节点电价_220,0.47251958,0.7055301,0.69147956,负荷预测_区1 + 阻塞_A34
