S,group
"(0, 12, 13, 16, 18, 29)",uniform
"(2, 5, 34, 35, 36, 43)",uniform
"(2, 9, 20, 31, 33, 42)",uniform
"(2, 9, 22, 26, 28, 42)",uniform
"(2, 10, 14, 15, 38, 43)",uniform
"(2, 12, 13, 24, 26, 43)",uniform
"(2, 21, 22, 27, 31, 40)",uniform
"(3, 4, 8, 12, 19, 32)",uniform
"(3, 9, 21, 25, 29, 40)",uniform
"(6, 7, 13, 17, 25, 38)",uniform
"(6, 10, 12, 21, 31, 38)",uniform
"(7, 8, 11, 35, 39, 41)",uniform
"(8, 9, 17, 23, 34, 38)",uniform
"(8, 12, 22, 24, 30, 33)",uniform
"(9, 14, 16, 25, 37, 43)",uniform
"(11, 23, 25, 30, 34, 36)",uniform
"(14, 16, 26, 27, 35, 39)",uniform
"(14, 20, 21, 25, 33, 38)",uniform
