数据,目标,τ,δ,规则,关键数,标记数,召回,精确
RTS-GMLC,Y_线路潮流_C35,0.5,0.05,扫描标记（估计）,23,22,0.9565217391304348,1.0
RTS-GMLC,Y_线路潮流_C35,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0
RTS-GMLC,Y_线路潮流_C35,0.7,0.0,扫描标记（估计）,21,23,1.0,0.9130434782608695
RTS-GMLC,Y_线路潮流_C35,0.7,0.0,扫描—认证标记,21,21,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,0.7,,单字段规则 V({i})>τ,21,0,0.0,
RTS-GMLC,Y_线路潮流_C35,0.7,0.05,扫描标记（估计）,21,23,1.0,0.9130434782608695
RTS-GMLC,Y_线路潮流_C35,0.7,0.05,扫描—认证标记,21,20,0.9523809523809523,1.0
NEM,Y_机组出力_BW01,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0
NEM,Y_机组出力_BW01,0.5,0.0,扫描—认证标记,30,30,1.0,1.0
NEM,Y_机组出力_BW01,0.5,,单字段规则 V({i})>τ,30,0,0.0,
NEM,Y_机组出力_BW01,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0
NEM,Y_机组出力_BW01,0.5,0.05,扫描—认证标记,30,18,0.6,1.0
NEM,Y_机组出力_BW01,0.7,0.0,扫描标记（估计）,0,0,,
NEM,Y_机组出力_BW01,0.7,0.0,扫描—认证标记,0,0,,
NEM,Y_机组出力_BW01,0.7,,单字段规则 V({i})>τ,0,0,,
NEM,Y_机组出力_BW01,0.7,0.05,扫描标记（估计）,0,3,,0.0
NEM,Y_机组出力_BW01,0.7,0.05,扫描—认证标记,0,0,,
NEM,Y_机组出力_TUMUT3,0.5,0.0,扫描标记（估计）,22,5,0.22727272727272727,1.0
NEM,Y_机组出力_TUMUT3,0.5,0.0,扫描—认证标记,22,5,0.22727272727272727,1.0
NEM,Y_机组出力_TUMUT3,0.5,,单字段规则 V({i})>τ,22,0,0.0,
NEM,Y_机组出力_TUMUT3,0.5,0.05,扫描标记（估计）,22,15,0.5909090909090909,0.8666666666666667
NEM,Y_机组出力_TUMUT3,0.5,0.05,扫描—认证标记,22,3,0.13636363636363635,1.0
NEM,Y_机组出力_TUMUT3,0.7,0.0,扫描标记（估计）,0,0,,
NEM,Y_机组出力_TUMUT3,0.7,0.0,扫描—认证标记,0,0,,
NEM,Y_机组出力_TUMUT3,0.7,,单字段规则 V({i})>τ,0,0,,
NEM,Y_机组出力_TUMUT3,0.7,0.05,扫描标记（估计）,0,0,,
NEM,Y_机组出力_TUMUT3,0.7,0.05,扫描—认证标记,0,0,,
NEM,Y_机组出力_PPCCGT,0.5,0.0,扫描标记（估计）,30,30,1.0,1.0
NEM,Y_机组出力_PPCCGT,0.5,0.0,扫描—认证标记,30,30,1.0,1.0
NEM,Y_机组出力_PPCCGT,0.5,,单字段规则 V({i})>τ,30,2,0.06666666666666667,1.0
NEM,Y_机组出力_PPCCGT,0.5,0.05,扫描标记（估计）,30,30,1.0,1.0
NEM,Y_机组出力_PPCCGT,0.5,0.05,扫描—认证标记,30,27,0.9,1.0
NEM,Y_机组出力_PPCCGT,0.7,0.0,扫描标记（估计）,10,10,1.0,1.0
NEM,Y_机组出力_PPCCGT,0.7,0.0,扫描—认证标记,10,10,1.0,1.0
NEM,Y_机组出力_PPCCGT,0.7,,单字段规则 V({i})>τ,10,0,0.0,
NEM,Y_机组出力_PPCCGT,0.7,0.05,扫描标记（估计）,10,12,1.0,0.8333333333333334
NEM,Y_机组出力_PPCCGT,0.7,0.05,扫描—认证标记,10,10,1.0,1.0
PJM-load,Y_metered_load_mw,0.5,0.0,扫描标记（估计）,22,22,1.0,1.0
PJM-load,Y_metered_load_mw,0.5,0.0,扫描—认证标记,22,22,1.0,1.0
PJM-load,Y_metered_load_mw,0.5,,单字段规则 V({i})>τ,22,0,0.0,
PJM-load,Y_metered_load_mw,0.5,0.05,扫描标记（估计）,22,22,1.0,1.0
PJM-load,Y_metered_load_mw,0.5,0.05,扫描—认证标记,22,18,0.8181818181818182,1.0
PJM-load,Y_metered_load_mw,0.7,0.0,扫描标记（估计）,14,8,0.5714285714285714,1.0
PJM-load,Y_metered_load_mw,0.7,0.0,扫描—认证标记,14,8,0.5714285714285714,1.0
PJM-load,Y_metered_load_mw,0.7,,单字段规则 V({i})>τ,14,0,0.0,
PJM-load,Y_metered_load_mw,0.7,0.05,扫描标记（估计）,14,16,1.0,0.875
PJM-load,Y_metered_load_mw,0.7,0.05,扫描—认证标记,14,13,0.9285714285714286,1.0
PJM-gen/ic,Y_total_gen,0.5,0.0,扫描标记（估计）,24,24,1.0,1.0
PJM-gen/ic,Y_total_gen,0.5,0.0,扫描—认证标记,24,24,1.0,1.0
PJM-gen/ic,Y_total_gen,0.5,,单字段规则 V({i})>τ,24,2,0.08333333333333333,1.0
PJM-gen/ic,Y_total_gen,0.5,0.05,扫描标记（估计）,24,24,1.0,1.0
PJM-gen/ic,Y_total_gen,0.5,0.05,扫描—认证标记,24,23,0.9583333333333334,1.0
PJM-gen/ic,Y_total_gen,0.7,0.0,扫描标记（估计）,20,8,0.4,1.0
PJM-gen/ic,Y_total_gen,0.7,0.0,扫描—认证标记,20,8,0.4,1.0
PJM-gen/ic,Y_total_gen,0.7,,单字段规则 V({i})>τ,20,2,0.1,1.0
PJM-gen/ic,Y_total_gen,0.7,0.05,扫描标记（估计）,20,13,0.65,1.0
PJM-gen/ic,Y_total_gen,0.7,0.05,扫描—认证标记,20,12,0.6,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,0.0,扫描标记（估计）,24,22,0.9166666666666666,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,0.0,扫描—认证标记,24,22,0.9166666666666666,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,,单字段规则 V({i})>τ,24,0,0.0,
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,0.05,扫描标记（估计）,24,19,0.7916666666666666,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.5,0.05,扫描—认证标记,24,13,0.5416666666666666,1.0
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,0.0,扫描标记（估计）,3,0,0.0,
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,0.0,扫描—认证标记,3,0,0.0,
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,,单字段规则 V({i})>τ,3,0,0.0,
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,0.05,扫描标记（估计）,3,0,0.0,
PJM-gen/ic,Y_net_actual_interchange_mw,0.7,0.05,扫描—认证标记,3,0,0.0,
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,0.0,扫描标记（估计）,35,35,1.0,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,0.0,扫描—认证标记,35,35,1.0,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,,单字段规则 V({i})>τ,35,5,0.14285714285714285,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,0.05,扫描标记（估计）,35,35,1.0,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.5,0.05,扫描—认证标记,35,35,1.0,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,0.0,扫描标记（估计）,35,35,1.0,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,0.0,扫描—认证标记,35,35,1.0,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,,单字段规则 V({i})>τ,35,3,0.08571428571428572,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,0.05,扫描标记（估计）,35,35,1.0,1.0
CAISO-load,Y_actual_load__mw__ca_iso_tac,0.7,0.05,扫描—认证标记,35,33,0.9428571428571428,1.0
