strategy,k,chosen,worst_k200,mean_k200,elapsed
hybrid,24,,0.5700750350952148,0.35315975546836853,3.9292900562286377
hybrid,25,gross_sched_interchange_mw,0.5214931964874268,0.3186532258987427,22.0266592502594
hybrid,26,gen_fuel_multiple_fuels_pct,0.5236773490905762,0.29437750577926636,39.808223485946655
hybrid,27,gen_fuel_other_renewables_mw,0.4738515615463257,0.2734924554824829,56.52153968811035
direct,0,,0.9843750596046448,0.7945704460144043,2.856452226638794
direct,1,forecast_load_mw_latest_available,0.9829174280166626,0.7963734269142151,39.611889600753784
direct,2,forecast_load_mw_day_ahead,0.9697189331054688,0.7909162044525146,76.0754029750824
direct,3,system_energy_price_da,0.9707139730453491,0.7669103741645813,110.6454803943634
direct,4,gen_fuel_nuclear_pct,0.9513102769851685,0.7609837651252747,144.60192108154297
direct,5,da_as_nsr_mw_primary_reserve,0.9505562782287598,0.719304084777832,178.63745427131653
direct,6,gen_fuel_gas_mw,0.9263375997543335,0.7138574719429016,211.025381565094
direct,7,gen_fuel_coal_mw,0.9079216122627258,0.7075781226158142,243.101642370224
direct,8,gen_fuel_nuclear_mw,0.9132001996040344,0.6989834308624268,273.8495330810547
direct,9,da_as_mcp_synchronized_reserve,0.9161259531974792,0.6953015923500061,303.2832431793213
direct,10,gen_fuel_wind_mw,0.9093546271324158,0.6896713376045227,332.4906015396118
direct,11,gen_fuel_hydro_mw,0.8937057852745056,0.6846768856048584,361.05407214164734
direct,12,gen_fuel_other_renewables_mw,0.8507206439971924,0.6781855225563049,388.54318022727966
direct,13,rmpcp,0.8499640226364136,0.6772139668464661,415.9189131259918
direct,14,da_as_mcp_primary_reserve,0.8491320610046387,0.6521381735801697,442.8196723461151
direct,15,gen_fuel_other_renewables_pct,0.825271487236023,0.6491937637329102,468.20852613449097
direct,16,gross_inadv_interchange_mw,0.8153157830238342,0.6244539022445679,493.48481011390686
direct,17,gen_fuel_coal_pct,0.7637078762054443,0.5909426212310791,516.740926027298
direct,18,gen_fuel_oil_mw,0.768340528011322,0.5888190865516663,540.5994265079498
direct,19,gen_fuel_oil_pct,0.6794593334197998,0.5418663024902344,562.9827470779419
direct,20,gen_fuel_multiple_fuels_mw,0.666862964630127,0.5362352728843689,585.5861291885376
direct,21,marginal_loss_price_rt,0.6653095483779907,0.5198025107383728,606.9721555709839
direct,22,gen_fuel_multiple_fuels_pct,0.6377153992652893,0.49484845995903015,626.6360080242157
direct,23,total_lmp_rt,0.6077852845191956,0.4156529903411865,646.2977149486542
direct,24,gen_fuel_gas_pct,0.5830304622650146,0.3896857500076294,665.0100586414337
direct,25,gross_sched_interchange_mw,0.5721184611320496,0.37144601345062256,683.9544095993042
direct,26,total_pjm_assigned_reg,0.5724957585334778,0.370620459318161,701.8223960399628
direct,27,net_inadv_interchange_mw,0.5689395666122437,0.37170228362083435,718.6862041950226
direct,28,da_as_ss_mw_primary_reserve,0.5713185667991638,0.37276434898376465,734.52707862854
direct,29,da_as_ss_mw_synchronized_reserve,0.5697054266929626,0.37504029273986816,750.100608587265
direct,30,total_pjm_self_sched_reg,0.5507258176803589,0.37230291962623596,764.2595608234406
