output_field,dtype,unit,source_tier,source_key,official_report_name,queryname,version,market_run_id,official_raw_field,official_dimension_fields,original_cadence,hour_alignment_or_aggregation,official_entry_url,explanation_zh
timestamp_utc,string (ISO 8601),UTC,derived time axis,time_axis,,,,,INTERVALSTARTTIME_GMT / INTERVAL_START_GMT,,hourly,canonical calendar-year UTC hour beginning,https://oasis.caiso.com/,"规范 UTC 小时起点；2025 年恰为 8,760 个小时。"
timestamp_local,string (ISO 8601),America/Los_Angeles,derived time label,time_axis,,,,,derived from timestamp_utc,,hourly,IANA America/Los_Angeles conversion; offset retained,https://www.iana.org/time-zones,加州本地时间标签，保留 -08:00/-07:00 偏移以消除夏令时歧义。
actual_load__mw__ava,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__avrn,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__azps,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__banc,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__bancmid,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__bancrdng,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__bancrsvl,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__bancsmud,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__bancwasn,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__bcha,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__bpat,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
actual_load__mw__ca_iso_tac,float64,MW,official CAISO OASIS,actual_load,Demand forecast / actual load,SLD_FCST,1.0,ACTUAL,MW,TAC_AREA_NAME,hourly,official hourly interval value,https://oasis.caiso.com/,CAISO 发布的 TAC 区域实际小时综合负荷。
