indices,source,syn3_true,weight,strong,split
"(0, 1, 14)",remainder1800,0.1107172966003418,7.137222222222222,True,test
"(0, 1, 23)",remainder1800,0.021767258644104,7.137222222222222,False,tune
"(0, 1, 24)",remainder1800,0.0781542062759399,7.137222222222222,False,test
"(0, 2, 6)",exact397,0.1695621013641357,1.0,True,test
"(0, 2, 10)",exact397,0.1305495500564575,1.0,True,tune
"(0, 2, 12)",remainder1800,0.0881626605987548,7.137222222222222,False,tune
"(0, 2, 15)",remainder1800,0.0870547890663147,7.137222222222222,False,tune
"(0, 2, 21)",remainder1800,0.0533722639083862,7.137222222222222,False,tune
"(0, 2, 34)",remainder1800,0.0527369976043701,7.137222222222222,False,tune
"(0, 2, 42)",remainder1800,0.0345684885978698,7.137222222222222,False,tune
"(0, 2, 43)",remainder1800,0.0340721011161804,7.137222222222222,False,tune
"(0, 3, 10)",exact397,0.164752721786499,1.0,True,test
"(0, 3, 13)",remainder1800,0.0874165892601013,7.137222222222222,False,tune
"(0, 3, 15)",remainder1800,0.0796282291412353,7.137222222222222,False,tune
"(0, 3, 24)",remainder1800,0.0909301042556762,7.137222222222222,False,tune
"(0, 3, 37)",remainder1800,0.0725634098052978,7.137222222222222,False,tune
"(0, 3, 41)",remainder1800,0.0096611380577087,7.137222222222222,False,test
"(0, 3, 42)",exact397,0.1590762138366699,1.0,True,test
"(0, 4, 9)",remainder1800,0.0684500336647033,7.137222222222222,False,tune
"(0, 4, 15)",exact397,0.0570907592773437,1.0,False,tune
"(0, 4, 23)",remainder1800,0.0213589072227478,7.137222222222222,False,tune
"(0, 4, 25)",remainder1800,0.0414896011352539,7.137222222222222,False,test
"(0, 4, 28)",exact397,0.0547501444816589,1.0,False,tune
"(0, 4, 30)",remainder1800,0.0730922818183898,7.137222222222222,False,tune
"(0, 4, 40)",remainder1800,0.098112940788269,7.137222222222222,False,tune
"(0, 5, 10)",exact397,0.1451682448387146,1.0,True,tune
"(0, 5, 18)",exact397,0.0472758412361145,1.0,False,test
"(0, 5, 25)",remainder1800,0.0384717583656311,7.137222222222222,False,tune
"(0, 5, 34)",remainder1800,0.0358300805091857,7.137222222222222,False,tune
"(0, 5, 40)",remainder1800,0.0730327367782592,7.137222222222222,False,tune
"(0, 6, 9)",remainder1800,0.0966333746910095,7.137222222222222,False,tune
"(0, 6, 11)",exact397,0.1441633105278015,1.0,True,test
"(0, 6, 12)",exact397,0.1763120293617248,1.0,True,test
"(0, 6, 17)",remainder1800,0.0468310117721557,7.137222222222222,False,test
"(0, 6, 29)",remainder1800,0.0956834554672241,7.137222222222222,False,tune
"(0, 6, 33)",exact397,0.1611581444740295,1.0,True,tune
"(0, 7, 37)",remainder1800,0.0446415543556213,7.137222222222222,False,tune
"(0, 7, 40)",remainder1800,0.0513825416564941,7.137222222222222,False,test
"(0, 7, 43)",remainder1800,0.0478538870811462,7.137222222222222,False,tune
"(0, 8, 14)",remainder1800,0.0426507592201232,7.137222222222222,False,tune
"(0, 8, 22)",remainder1800,0.0609634518623352,7.137222222222222,False,tune
"(0, 8, 27)",remainder1800,0.0540819764137268,7.137222222222222,False,test
"(0, 8, 42)",remainder1800,0.0660457611083984,7.137222222222222,False,tune
"(0, 9, 10)",exact397,0.0568886399269104,1.0,False,test
"(0, 9, 14)",exact397,0.0469090938568115,1.0,False,tune
"(0, 9, 15)",exact397,0.0502968430519104,1.0,False,test
"(0, 9, 19)",remainder1800,0.0701857209205627,7.137222222222222,False,test
"(0, 9, 22)",remainder1800,0.0829443335533142,7.137222222222222,False,test
"(0, 9, 26)",remainder1800,0.085752248764038,7.137222222222222,False,tune
"(0, 9, 32)",remainder1800,0.0834998488426208,7.137222222222222,False,tune
"(0, 10, 11)",remainder1800,0.0489227771759033,7.137222222222222,False,test
"(0, 10, 12)",exact397,0.1277672052383422,1.0,True,test
"(0, 10, 13)",exact397,0.1634071469306945,1.0,True,test
"(0, 10, 14)",exact397,0.2397216558456421,1.0,True,tune
"(0, 10, 15)",exact397,0.1442674994468689,1.0,True,tune
"(0, 10, 19)",exact397,0.4243054389953613,1.0,True,tune
"(0, 10, 20)",exact397,0.3322914838790893,1.0,True,tune
"(0, 10, 21)",remainder1800,0.0568882226943969,7.137222222222222,False,tune
"(0, 10, 23)",remainder1800,0.01901775598526,7.137222222222222,False,test
"(0, 10, 31)",exact397,0.1470221281051635,1.0,True,tune
"(0, 10, 32)",exact397,0.1484266519546508,1.0,True,tune
"(0, 10, 34)",remainder1800,0.0447182059288024,7.137222222222222,False,tune
"(0, 10, 35)",exact397,0.0447182059288024,1.0,False,tune
"(0, 10, 39)",exact397,0.1310500502586364,1.0,True,test
"(0, 11, 16)",exact397,0.0893214344978332,1.0,False,test
"(0, 11, 23)",remainder1800,0.0200831890106201,7.137222222222222,False,tune
"(0, 11, 24)",remainder1800,0.1367340683937072,7.137222222222222,True,test
"(0, 11, 25)",remainder1800,0.0355742573738098,7.137222222222222,False,tune
"(0, 11, 27)",remainder1800,0.0747004747390747,7.137222222222222,False,test
"(0, 11, 31)",exact397,0.1541998982429504,1.0,True,tune
"(0, 11, 32)",exact397,0.1548994779586792,1.0,True,tune
"(0, 11, 33)",exact397,0.1540014743804931,1.0,True,tune
"(0, 11, 36)",remainder1800,0.0628513097763061,7.137222222222222,False,test
"(0, 11, 37)",remainder1800,0.0939490795135498,7.137222222222222,False,test
